name	author	family	synonyms	nameFR
Heliconia humidis 	Jacq. 	Heliconiaceae	Bihai marginata Griggs	
Heliconia psittacorum 	L. f.	Heliconiaceae		
Heliconia vellerigena 	Poepp.	Heliconiaceae	Bihai vellerigera Kuntze	
Helxine soleirolii 	Req.	Urticaceae	Soleirolia soleirolii (Req.) Dandy	
Hemigraphis colorata 	Nees	Acanthaceae		
Hibiscus arnottianus 	A. Gray	Malvaceae		
Hibiscus rosa-sinensis 	L.	Malvaceae		
Hibiscus rosa-sinensis 	L. var.  Plenus	Malvaceae		
Hibiscus rosa-sinensis	 L.var. albus	Malvaceae		
Hibiscus rosa-sinensis 	L. var. california gold	Malvaceae		
Hibiscus rosa-sinensis 	L.var. cooperi	Malvaceae		
Hibiscus rosa-sinensis 	L. var. crown of Bohemia	Malvaceae		
Hibiscus rosa-sinensis	 L. var. mist	Malvaceae		
Hibiscus rosa-sinensis 	L. var. natal	Malvaceae		
Hibiscus rosa-sinensis 	L. var. scarlet'	Malvaceae		
Hibiscus schizopetalus 	(Mast.) Hook. f.	Malvaceae	Hibiscus rosa-sinensis L. var. schizopetalus Mast.  	
Hippeastrum leopoldii 	Hort.	Amaryllidaceae		
Hippeastrum puniceum 	(Lam.) Kuntze	Amaryllidaceae	Amaryllis punicea Lam.	
Hippeastrum reticulatum var. striatifolium 	(Herb.) Herb.	Amaryllidaceae		
Homalomena wallisii 	Regel.	Araceae		
Howeia forsteriana 	Becc.	Arecaceae	Kentia forsteriana F.Muell. ex H.Wendl.	
Huernia reticulata 	(Masson) 	Asclepiadaceae	Stapelia reticulata Masson	
Hura crepitans 	L.	Euphorbiaceae		
Hymenocallis speciosa 	Salisb.	Amaryllidaceae		
Impatiens balsamina	L.	Asteraceae	I. eriocarpa Launert ; I. giorgii De Wild.; I. stapfiana Gilg I. tamsiana Exell 	
Impatiens marianae 	Rchb.f. ex Hook.f.	Asteraceae		
Ipomoea cairica 	L.	Convolvulaceae		
Iresine herbstii 	Hook.			
Ixora chinensis	 Lamk.	Rubiaceae		
Ixora coccinea 	L.	Rubiaceae		
Ixora finlaysoniana 	Wall. & G.Don	Rubiaceae		
Ixora finlaysoniana 	Wall. & G.Don cv. rosea	Rubiaceae		
Ixora 	'Herreras Pink'	Rubiaceae		
Ixora javanica 	DC.	Rubiaceae		
Ixora macrothyrsa 	Hort.	Rubiaceae		
Ixora macrothyrsa 	Hort. 'Super King'	Rubiaceae		
Ixora odorata 	Hook.	Rubiaceae		
Jacaranda mimosaefolia 	Don D.	Bignoniaceae	Jacaranda ovalifolia R.Br.	
Jasminum nitidum 	Skan	Oleaceae		jasmin
Jasminum sambac	 Soland	Oleaceae		jasmin
Jatropha gossypifolia 	L.	Euphorbiaceae		jatropha
Jatropha multifida	L.	Euphorbiaceae	Jatropha diversifolia var. panduraefolia (Andrews) M.Gómez	
Jatropha podagrica 	Hook.	Euphorbiaceae		
Kaempferia galanga 	L.	Zingiberaceae		
Kaempferia pulchra 	Rodl. mansonii	Zingiberaceae		
Kaempferia pulchra 	Rodl. Silver pot	Zingiberaceae		
Kalanchoe blossfeldiana 	Poelln.	Crassulaceae	Kalanchoe coccinea (H.Perrier) Boiteau  var. blossfeldiana (Poelln.) Boiteau; K. globulifera var. coccinea H. Perrier	
Kalanchoe blossfeldiana 	Poelln.var.’Tom Thumb’	Crassulaceae		
Kalanchoe daigremontiana 	Hamet et Perr. de la Bat.	Crassulaceae		
Kalanchoe marmorata 	Bak.	Crassulaceae	K. grandiflora A. Rich. 	
Kalanchoe pinnata 	Bowie.	Crassulaceae		
Kalanchoe tomentosa 	Bak.	Crassulaceae	Bryophyllum proliferum Bowie ex Hook.	
Khaya senegalensis 	(Desr.) A.Juss.	Meliaceae	Swietenia senegalensis Desr.	
Lagerstroemia indica 	L.	Lythraceae		
Lagerstroemia speciosa 	(L.) Pers.	Lythraceae		
Lamium galeobdolon 	(L.) L. var. variegatum	Lamiaceae	Galeopsis galeobdolon L.	
Lantana camara 	L.	Verbenaceae		
Lantana montevidensis 	Briq.	Verbenaceae		
Lavandula officinalis 	Chaix	Verbenaceae		
Lawsonia inermis 	L.	Lythraceae		
Licuala grandis 	H. Wendl.	Arecaceae		
Licuala rumphii 	Blume	Arecaceae		
Licuala spinosa 	Wurmb.	Arecaceae	Licuala acutifida Mart.	
Ligustrum ovalifolium 	Hort ex Decne.	Oleaceae	Ligustrum coriaceum	troène panaché
Linospadix monostachya 	H. Wendl.	Arecaceae		
Livistona australis 	Mart.	Arecaceae	Corypha australis R.Br.	
Livistona chinensis	Mart.	Arecaceae		
Malacocarpus tethracanthus 	(Lem.) Rud.Mey.	Cactaceae	Echinocactus tetracanthus Lem.	
Mammillaria bocasana 	Poselg.	Cactaceae	Krainzia bocasana (Poselg.) Doweld	
Mammillaria elegans 	DC.	Cactaceae		
Mammillaria macrothele 	Mart.	Cactaceae	Cactus macrothele Kuntze	
Mammillaria mainae	 K.Brandegee	Cactaceae		
Mammillaria prolifera 	Haw.	Cactaceae	Cactus proliferus Mill.	
Malvaviscus arboreus 	Cav.	Malvaceae		
Mangifera indica 	L.	Anacardiaceae		manguier
Maranta arundinacea 	L.	Marantaceae		
Maranta arundinacea 	L. variegata	Marantaceae		
Maranta leuconeura 	E. Morren.	Marantaceae		
Maranta leuconeura 	E. Morren. erythroneura G.S.Bunting	Marantaceae		
Melia azedarach 	L.	Meliaceae	Melia dubia Cav.	
Melocactus bahiensis 	(Br. & R.) Lutzelb.	Cactaceae	Cactus bahiensis Britton & Rose	
Melocactus caesius 	H. L. Weendl.	Cactaceae	Cactus caesius Britton & Rose	
Millettia thonningii 	(Schum. & Thonn.) Baker	Fabaceae	Robinia thonningii Schum. et Thonn.	
Millingtonia hortensis	 L. f.	Bignoniaceae		
Mirabilis jalapa 	L.	Nyctaginaceae		
Monstera deliciosa 	Liebm.	Araceae		
Monstera epipremnoides	Engl.	Araceae		
Monstera friedrichsthalii 	Schott	Araceae		
Monstera obliqua 	Miq. var. expilata (Schott) Engl.	Araceae	Monstera expilata Schott	
Murraya paniculata 	(L.) Jacq.	Rutaceae	Chalcas paniculata L.	
Musa zebrina	Van Houtte ex Planch.	Musaceae		
Mussaenda erythrophylla 	Schumach. & Thonn.	Rubiaceae		
Mussaenda frondosa 	Lour.	Rubiaceae		
Mussaenda philippica 	A.Rich.	Rubiaceae		
Myrtillocactus geometrizans 	Brandegee	Cactaceae	Cereus geometrizans Mart.	
Nelumbo nucifera 	Gaertn.	Nelumbonaceae	Nymphaea nelumbo Vell.	
Nephrolepis bisserata 	(Sw.) Schott. var.furcans Hort.	Nephrolepidaceae		
Nephrolepis exaltata 	(L.)Schott. 	Nephrolepidaceae	Aspidium exaltatum (L.) Sw.;  Nephrodium exaltatum (L.) R. Br.; Polypodium exaltatum L.; Hypopeltis exaltata (L.) Bory	
Nephrolepis exaltata	 (L.) Schott. var. whitmanii	Nephrolepidaceae		
Nephrolepis exaltata	 Schott. var. norwoodii	Nephrolepidaceae		
Nephrolepis exaltata 	Schott.var. verona .	Nephrolepidaceae		
Nerium oleander 	L.	Apocynaceae	Nerium indicum Mill.  	
Nerium oleander	 L. var. variegatum plenum	Apocynaceae		
Newbouldia laevis 	(Beauv.) Seem. ex Bureau.	Bignoniaceae	Spathodea laevis Beauv.	
Nicolaia elatior 	Horan.	Zingiberaceae	Phaeomeria magnifica  K. Schum.	
Nopalea dejecta 	(Salm-Dyck.) Salm-Dyck	Cactaceae		
Nothopanax filicifolia 	Bailey	Araliaceae		
Notocactus ottonis 	(Lehm.) A. Berger  var. brasiliensis (F. Haage) Borg	Cactaceae	Echinocactus ottonis var. brasiliensis F.Haage	
Nymphaea 	‘Mrs Hitchkook’	Nymphaeaceae		
Nymphaea 	‘pink sensation’	Nymphaeaceae		
Nymphaea 	‘tashkent’	Nymphaeaceae		
Nymphaea capensis 	Thunb.	Nymphaeaceae	Nymphaea nelumbo Vell.	
Nymphaea lotus 	L.	Nymphaeaceae		
Nymphaea micrantha  	Guill. et Perr.	Nymphaeaceae		
Nymphaea rubra	 Roxb. ex Salisb.	Nymphaeaceae		
Nymphaea x daubeniana 	W.T. Baxter ex Daubeny	Nymphaeaceae		
Odontonema strictum 	Kuntze	Acanthaceae		
Ocimum basilicum 	L.	Lamiaceae		
Opuntia  invicta 	Brandegee	Cactaceae	Grusonia invicta (Brandegee) E.F. Anderson	
Opuntia chlorotica 	Engelm. & J.M.Bigelow 	Cactaceae		
Opuntia erinacea ursina 	Engelm. & J.M. Bigelow var. ursina (F.A.C.Weber) Parish 	Cactaceae	Opuntia ursina F.A.C. Weber	
Opuntia ficus-indica	 (L.) Mill.	Cactaceae		
Opuntia phaecantha 	Engelm.	Cactaceae		
Opuntia phaecantha	 Engelm.var. discata (Griffiths) L.D. Benson & Walk.	Cactaceae	Opuntia discata Griffiths	
Opuntia polyacantha 	Haw.	Cactaceae		
Opuntia robusta 	H.L. Wendl. P.	Cactaceae	Opuntia camuessa F.A.C.Weber	
Opuntia streptacantha 	Lem.	Cactaceae		
Opuntia vulgaris 	Mill.	Cactaceae		
Oxalis ovalis 	Ruiz ex Knuth 	Oxalidaceae		
Oxalis regnellii 	Miq.	Oxalidaceae		
Pachycereus pringlei 	Britton & Rose	Cactaceae	Cereus pringlei S.Watson	
Pachystachys lutea 	Nees	Acanthaceae		
Parmentiera edulis	DC.	Bignoniaceae	Parmentiera aculeata (Kunth) Seem.	
Paspalum distichum 	L. 	Poaceae		
Pedilanthus tithymaloides 	Poit.	Euphorbiaceae		
Pedilanthus tithymaloides 	Poit. var. variegatus	Euphorbiaceae		
Peltophorum pterocarpum 	(Decne.) K.Heyne	Fabaceae	Caesalpinia ferruginea Decne. ; Peltophorum ferrugineum (Decne.) Benth. ; Caesalpinia inermis Roxb. ; Peltophorum inerme (Roxb.) Náves ; Peltophorum roxburghii (G.Don) O.Deg.; Peltophorum roxburghii G.Don; Inga pterocarpa DC.  	
Pentas lanceolata 	(Forsk.) Deflers pallida	Rubiaceae		
Peperomia campylotropa 	A.W. Hill	Piperaceae		
Peperomia incana 	A. Dietr.	Piperaceae		
Peperomia magnoliifolia 	(Jacq.) A. Dietr.	Piperaceae	Piper magnoliifolium Jacq. ; Peperomia amplexicaulis (Sw.) A.Dietr.  var. magnoliifolia (Jacq.)Griseb. 	
Peperomia obtusifolia 	(L.) A. Dietr.  	Piperaceae	Piper obtusifolium L. ;Rhynchophorum obtusifolium (L.) Small	
Pereskia aculeata	 Mill.	Cactaceae		
Pereskia corrugata 	Cutak	Cactaceae	Rhodocactus corrugatus (Cutak) Backeb.	
Petrea volubilis 	L. 	Verbenaceae		
Phaeomeria magnifica 	K.Schum.	Zingiberaceae		
Philodendron corcovadense 	Kunth	Araceae		
Philodendron elegans 	Krause	Araceae		
Philodendron goldiana 	Hort.	Araceae		
Philodendron lacerum 	Schott.	Araceae		
Philodendron laciniatum 	Engl.	Araceae		
Philodendron scandens 	K.Koch & Sello	Araceae	Philodendron cuspidatum K.Koch  &  Bouche.	
Philodendron squamiferum 	Poepp. & Endl.	Araceae		
Philodendron warmingii 	Hook. f.	Araceae		
Philodendron x Florida compacta 	Hort.	Araceae		
Phyllanthus angustifolius	 Sw.	Euphorbiaceae		
Pilea microphylla 	Liebm.	Urticaceae		
Pinus canariensis 	Sm.	Pinaceae		
Pinus caribaea 	Morelet	Pinaceae		
Pistia stratiotes 	L.			
Pithecellobium dulce 	(Roxb.) Benth.	Fabaceae	Mimosa dulcis Roxb.; Inga dulcis Wild.; I. lanceolata Blanco.	
Platycerium angolense 	Welm. ex Hook.	Polypodiaceae	P. elephantotis Schweinf.	
Platycerium bifurcatum 	(Cav.) C.Chr.	Polypodiaceae		
Platycerium hilii 	Moore	Polypodiaceae		
Platycerium stemaria 	(P. Beauv.) Desv.	Polypodiaceae		
Platycerium superbum 	Joncheere & Hennipman  	Polypodiaceae		
Plectranthus coleoides 	Benth.var.marginatus	Lamiaceae		
Plectranthus fruticosus 	Wight ex Hook.f.	Lamiaceae		
Plumbago capensis 	Thunb.	Plumbaginaceae		
Plumeria rubra 	L.	Apocynaceae	P. acuminata Aiton ; P. acutifolia Poir. ; P. lutea A.Chev.	
Polianthes tuberosa 	L.	Agavaceae		
Polyalthia longifolia 	(Sonn.) Hook. f. & Thomson	Annonaceae		
Polyalthia longifolia 	(Sonn.) Hook. f. & Thomson var. pendula	Annonaceae	Uvaria longifolia Sonn.	
Polypodium musifolium 	Bl. 	Polypodiaceae		
Polypodium ponctatum 	Thunb.	Polypodiaceae		
Polyscias balfouriana 	Bailey	Araliaceae	Aralia balfcuriana Hort.	
Polyscias balfouriana 	Bailey pennockii	Araliaceae		
Polyscias filicifolia 	Bailey	Araliaceae	Aralia filicifolia Chr. Moore ex Fourn.	
Polyscias guilfoylei 	L.H. Bailey	Araliaceae	Aralia guilfoylei Cogn. & Marchal	
Polyscias guilfoylei 	L.H. Bailey laciniata	Araliaceae		
Polyscias guilgoylei	 L.H.Bailey victorae Bailey	Araliaceae		
Polyscias palapala 	Hort.	Araliaceae		
Polyscias scutellaria 	(Burm.f.) Fosberg	Araliaceae		
Portulaca grandiflora 	Hook.	Portulacaceae		
Portulaca oleracea 	L.	Portulacaceae		
Pritchardia beccariana	 Rock	Arecaceae		
Pseuderanthemum atropurpureum 	(Bull) Radlk. 	Acanthaceae		
Pseuderanthemum atropurpureum 	(Bull) Radlk.var.tonga 	Acanthaceae		
Pseuderanthemum reticulatum 	Radlk.	Acanthaceae	Eranthemum sp.	
Pteris cretica 	L.	Pteridaceae	P. melanocaulon Fee. ; Pycnodoria cretica (L.) Small	
Pteris ensiformis 	Burm.	Pteridaceae		
Punica granatum 	L.	Punicaceae		
Punica granatum 	L. florepleno	Punicaceae		
Puya caerulea 	L.	Bromeliaceae	Pitcairnia caerulea Benth. & Hook.f.	
Quisqualis indica 	L.	Combretaceae	Combretum indicum (L.) DeFilipps	
Ravenala madagascariensis 	Gmel. J.F.	Strelitziaceae		
Rhapis excelsa 	Henry	Arecaceae	Chamaerops excelsa Thunb.	
Rhapis humilis 	Henry	Arecaceae	Chamaerops excelsa Thunb.	
Rhipsalis cassutha 	Gaertn.	Cactaceae	Hariota cassutha (Gaertn.) Lem.	
Rhoeo spathacea 	(Sw.) Stearn vittata	Commelinaceae	R. discolor (C.L. L'Héritier) H.F. Hance ex W.G. Walpers; Tradescantia discolor C.L. L'Héritier; T. spathacea O.P. Swartz	
Richycereus weberi 	Hort.	Cactaceae		
Rosa centifolia 	L.	Rosaceae		
Rosa floribunda 	Hort. ex Andrews ‘Crimson Rosette’	Rosaceae		
Rosa floribunda 	Hort. ex Andrews ‘Fashionette’	Rosaceae		
Rosa floribunda 	Hort. ex Andrews ‘Scarlet Marvel’	Rosaceae		
Rosa floribunda 	Hort. ex Andrews ‘Spice’	Rosaceae		
Rosa floribunda 	Hort. ex Andrews ’Double Paul’s Scarlet’	Rosaceae		
Rosa grandiflora 	Lindl. ‘Queen Elisabeth’	Rosaceae		
Rosa odorata 	Sw. ‘Better Times’	Rosaceae		
Rosa odorata 	Sw. ‘Golden Rapture’	Rosaceae		
Rosa odorata 	Sw. ‘Happiness’	Rosaceae		
Rosa odorata 	Sw. ‘Mrs. Pierre S. Dupont’	Rosaceae		
Rosa odorata 	Sw. ‘Mrs. W.C. Miller’	Rosaceae		
Roystonea regia 	O.F. Hook.	Arecaceae	Oreodoxa regia Kunth	
Ruellia squarrosa 	(Fenzl) Cufod.	Acanthaceae	Dipteracanthus squarrosus Fenzl	
Ruspolia hypocrateriformis 	(Vahl) Milne-Redh.	Acanthaceae		
Russelia equisetiformis	Merrill	Acanthaceae		
Samanea saman 	(Jacquin) 	Fabaceae	Albizzia saman F. Muell.; Mimosa saman Jacq.;  Pithecellobium saman (Jacq.) Benth.; Zygia saman (Jacq.) Benth.; Albizia flavovirens Hoyle	
Sanchezia nobilis 	Hook.f.	Acanthaceae		
Sansevieria cylindrica 	Boj.	Dracaenaceae		
Sansevieria stuckyi 	Godegroy-Leboeuf.	Dracaenaceae  		
Sansevieria trifasciata 	Prain.	Dracaenaceae  		
Sansevieria trifasciata 	Prain. var. hahnii	Dracaenaceae  		
Sansevieria trifasciata 	Prain. var. hahnii variegata	Dracaenaceae  		
Sansevieria trifasciata 	Prain.var. golden hahnii	Dracaenaceae  		
Sansevieria trifasciata 	Prain.var. laurentii'	Dracaenaceae  		
Schefflera arboricola 	(Hayata) Merr.	Araliaceae	Heptapleurum arboricola Hayata	
Schefflera farinosa 	(Blume) Merr.	Araliaceae	Actinophyllum farinosum Blume	
Schismatoglottis novo-guineensis 	Br. N.E.	Araceae	Homalomena novo-guineensis Engl.	
Schizocasia lauterbachiana 	Engl.	Araceae	Alocasia lauterbachiana (Engl.) A.Hay	
Scindapsus aureus 	Engl.	Araceae	Pothos aureus Linden ex Andre	
Scirpus cernuus	 Vahl.	Cyperaceae	Isolepis cernua (Vahl) Roem. & Schult. var. cernua	
Setcreasea purpurea 	B.M. Boom		Tradescantia spathacea Sw.	
Solandra grandiflora 	Tussac	Solanaceae		
Spathiphyllum blandum 	Schott.	Araceae		
Spathiphyllum cannaefolium 	Schott.	Araceae	Spathiphyllum candicans Poepp. & Endl.	
Spathiphyllum 	'Mc Coy'	Araceae		
Spathodea campanulata 	P. Beauv.	Bignoniaceae		
Spathoglottis plicata  	Blume	Orchidaceae		
Spilanthes fusca 	Hort. Par. ex Lam.	Asteraceae	Spilanthes acmella Murr.	
Spilanthes oleracea 	L.	Asteraceae	Acmella oleracea (L.) R.K.Jansen ; S. acmella (L.) Murray var. oleracea (L.) C.B.Clarke ex Hook.f. 	
Stachytarpheta cayenensis 	(L.C. Rich.) Schau.	Verbenaceae		
Stapelia asterias 	Masson	Apocynaceae	S. hirsuta L. var. hirsuta	
Stapelia gigantea 	N.E. Br.	Apocynaceae	S. cylista C.A.Lückh.; S. gigantea N.E.Br. var. pallida E.Phillips ; S. marlothii N.E.Br. ; S. nobilis N.E.Br. ; S. youngii N.E.Br.; Gonostemon giganteus (Brown) P.V.Heath	
Stapelia gigantea 	N.E. Br. var.palllida E. Phillips	Apocynaceae	Stapelia gigantea N.E. Br.	
Stapelia nobilis	 N.E.Br.	Apocynaceae	Stapelia gigantea N.E. Br.	
Stenotaphrum secundatum 	(Walt.) Kuntze. variegatum	Poaceae	Ischaemum secundatum Walter ;  	
Sterculia foetida 	L.	Sterculiaceae		
Strelitzia reginae 	Pittier	Strelitziaceae		
Strobilanthes dyerianus	 Mast.	Acanthaceae	Strobilanthesauriculata Nees var. dyeriana (Mast.) J.R.I.Wood	
Strobilanthes maculata 	Nees.	Acanthaceae		
Strophanthus gratu	s (Hook.) Franch.	Apocynaceae	Roupellia grata Wall. &Hook.; Strophanthus ouabaio Holmes; S. perrotii A.Chev.; S. standleyanus Hort. ex Wall. & Hook.  	
Syngonium macrophyllum 	Engl.	Araceae		
Syngonium podophyllum 	Schott. albo-virens	Araceae		
Syngonium podophyllum 	Schott. 'emerald gem'	Araceae		
Syngonium podophyllum 	Schott.'green gold'	Araceae		
Tagetes patula 	L.	Asteraceae		
Tecoma stans 	(L.) Juss. ex Kunth.	Bignoniaceae		
Tectona grandis	L. f.	Lamiaceae		
Terminalia cattapa 	L.	Combretaceae		
Terminalia mantaly 	H.Perrier	Combretaceae		
Thespesia populnea 	Soland. ex Corrêa	Malvaceae		
Thevetia neriifolia 	Juss. ex Steud.	Apocynaceae	Ahouai thevetia (L.) M.Gómez ; Cascabela peruviana (Pers.) Raf. ; Cerbera peruviana Pers. ; Cerbera thevetia L. ; Thevetia linearis Raf. ; Thevetia neriifolia Juss. ex Steud. ; T. peruviana (Pers.) K. Schum.  	
Thevetia peruviana 	(Pers.) Merr.	Apocynaceae	Cerbera peruviana Pers.; C. thevetia L.; Cascabela thevetia (L.) Lippold	
Thryallis glauca	 O. Ktze	Malpighiaceae		
Thuja occidentalis	 L.	Cupressaceae	Thuja theophrasti Nieuwl.	
Thuja occidentalis	 L. spiralis	Cupressaceae	Thuja theophrasti Nieuwl.	
Thuja occidentalis	 L.	Cupressaceae	Thuja theophrasti Nieuwl.	
Thuja plicata 	L. excelsa	Cupressaceae	Thuja theophrasti Nieuwl.	
Thunbergia alata 	Boj.	Acanthaceae		
Thunbergia erecta 	(Benth.) T. Anders. 	Acanthaceae		
Thunbergia fragrans 	Roxb.	Acanthaceae		
Thunbergia grandiflora 	(Roxb. ex Rottl.) Roxb.	Acanthaceae		
Tithonia diversifolia 	A.Gray	Asteraceae		
Tithonia rotundifolia		Asteraceae		
Tradescantia fliminensis 	Vell. variegata 	Commelinaceae		
Tradescantia fluminensis 	Vell.Quicksilver	Commelinaceae		
Tribulus cistoides	 L.	Zygophyllaceae		
Tulipa gesnerana	 L. var. Blizzard	Liliaceae		
Turnera ulmifolia 	 L.	Turneraceae		
Vanda caerulea 	Griff. ex Lindl. 	Orchidaceae	Vanda caerulescens Lindl.	
Vanda teres 	Lindl.	Orchidaceae		
Victoria amazonica 	Sowerby	Nymphaeaceae		
Victoria regia 	Lindl. 	Nymphaeaceae	Victoria regia Lindl. 	
Victoria regia 	Lindl. var. cruziana Orbign.	Nymphaeaceae	Victoria regina J.E.Gray	
Washingtonia filifera 	Wendl.	Arecaceae		
Wedelia trilobata 	(L.) Hitch.	Asteraceae	Silphium trilobatum L.; Sphagneticola trilobata (L.) Pruski	
Xanthosoma lindenii 	(André) S.Moore magnificum	Araceae		
Xanthosoma lindenii 	(André) S.Moore'yautia'	Araceae		
Xanthosoma sagittifolium	 (L.) Schott	Araceae	Arum sagittifolium L.	
Yucca aloifolia	 L.	Agavaceae		
Zamia dominican 	L.f.	Zamiaceae		
Zamia dudgesiana 	L.f.	Zamiaceae		
Zamia fischeri 	Miq.	Zamiaceae		
Zamia floridana 	A. DC.	Zamiaceae		
Zamia furfuracea 	L.f.	Zamiaceae		
Zamia fusca 	Hort.Paull. ex Regel	Zamiaceae	Zamia crassifolia L.f.  	
Zamia pumila 	 L.	Zamiaceae	Zamia pygmaea Sims; Zamia silvicola Small; Zamia umbrosa Small	
Zamia standleyi	 Schutzman 	Zamiaceae		
Zebrina pendula 	Schnizl.	Commelinaceae		
Zephyranthes carinata 	Herb.	Amaryllidaceae		
Zephyranthes grandiflora 	Lindl.	Amaryllidaceae		
Zingiber zerumbet 	(L.) Sm.	Zingiberaceae	Amomum zerumbet L.	
Zinnia elegans 	Jacq.	Asteraceae	Crassina elegans Kuntze	
Zoysia tenuifolia 	Trin.	Poaceae	Zoysia matrella Druce subsp. tenuifolia (Willd. ex Trin.) T.Koyama	
